"sp.no","Block","Plot","plant","Genus"
166,"A",5,"CLAPUR","apis"
167,"A",4,"CLAPUR","apis"
168,"C",1,"GILCAP","agapostemon"
169,"A",5,"CLAPUR","apis"
170,"B",1,"CLAPUR","apis"
171,"A",5,"CLAPUR","apis"
172,"A",2,"CLAPUR","apis"
173,"C",2,"CLAPUR","apis"
174,"A",6,"CLAPUR","apis"
175,"A",1,"CLAPUR","apis"
176,"C",1,"GILCAP","apis"
177,"A",6,"CLAPUR","apis"
178,"A",6,"CLAPUR","apis"
179,"C",1,"GILCAP","apis"
180,"B",1,"CLAPUR","apis"
181,"A",5,"CLAPUR","ceratina "
182,"A",5,"PLECON","apis"
183,"B",5,"PLAFIG","halictus"
184,"A",5,"PLAFIG","eristalis"
185,"A",5,"PLECON","protosmia rubitloris"
186,"A",5,"PLECON","ceratina "
187,"A",5,"PLECON","apis"
188,"A",5,"PLAFIG","apis"
189,"B",5,"PLAFIG","sphaerophoria"
190,"A",1,"PLAFIG","sphaerophoria"
191,"B",3,"PLECON","ceratina "
192,"C",1,"PLECON","bombus"
193,"B",3,"PLAFIG","apis"
194,"B",3,"PLAFIG","ceratina "
195,"B",3,"PLECON","ceratina "
196,"A",1,"PLAFIG","nomada"
197,"C",5,"PLAFIG","osmia"
199,"C",4,"PLAFIG","apis"
200,"C",4,"PLAFIG","sphaerophoria"
202,"C",5,"PLAFIG","osmia"
204,"C",5,"PLAFIG","ceratina "
205,"A",6,"GERDIS","sphaerophoria"
206,"B",3,"PLAFIG","apis"
207,"A",2,"PLECON","ceratina "
208,"C",5,"PLAFIG","sphaerophoria"
209,"C",5,"PLAFIG","ceratina "
210,"B",6,"PLAFIG","ceratina "
211,"C",4,"PLAFIG","ceratina "
212,"B",1,"CLAPUR","ceratina "
213,"C",5,"PLAFIG","halictus"
214,"C",1,"PLAFIG","ceratina "
215,"B",5,"PLAFIG","halictus"
216,"C",5,"PLAFIG","ceratina "
217,"B",6,"PLAFIG","ceratina "
218,"B",1,"CLAPUR","ceratina "
219,"B",3,"PLAFIG","sphaerophoria"
220,"B",3,"PLAFIG","toxomerus"
221,"B",3,"PLAFIG","ceratina "
222,"B",5,"PLAFIG","ceratina "
223,"B",5,"PLAFIG","halictus"
224,"B",5,"PLAFIG","ceratina "
225,"B",3,"PLAFIG","ceratina "
226,"B",3,"PLAFIG","ceratina "
227,"B",2,"PLAFIG","ceratina "
228,"B",6,"PLAFIG","ceratina "
229,"B",6,"PLAFIG","ceratina "
230,"B",6,"PLAFIG","ceratina "
232,"B",6,"PLAFIG","ceratina "
233,"B",3,"PLAFIG","ceratina "
235,"B",3,"PLAFIG","halictus"
237,"A",1,"PLAFIG","halictus"
238,"A",4,"GERDIS","ceratina "
239,"A",4,"GERDIS","ceratina "
240,"A",5,"PLAFIG","halictus"
241,"A",6,"PLAFIG","ceratina "
242,"A",5,"PLAFIG","ceratina "
243,"A",5,"PLAFIG","eristalis"
244,"A",5,"PLAFIG","adrena"
245,"A",6,"GERDIS","ceratina "
246,"A",6,"GERDIS","ceratina "
247,"A",2,"PLAFIG","ceratina "
248,"A",5,"PLAFIG","ceratina "
249,"A",5,"PLAFIG","halictus"
250,"A",5,"PLAFIG","ceratina "
251,"A",2,"PLAFIG","ceratina "
253,"A",6,"COLLIGRA","ceratina "
254,"A",1,"PLAFIG","ceratina "
255,"C",6,"GERDIS","ceratina "
257,"A",3,"GERDIS","ceratina "
258,"A",1,"PLAFIG","halictus"
259,"A",3,"GERDIS","ceratina "
260,"A",6,"GERDIS","ceratina "
261,"A",5,"PLAFIG","apis"
262,"A",5,"PLAFIG","ceratina "
263,"A",5,"PLAFIG","ceratina "
264,"A",2,"PLAFIG","nomada"
266,"A",5,"PLAFIG","ceratina "
268,"C",5,"PLAFIG","ceratina "
269,"A",1,"MADELE","halictus"
270,"A",1,"MADELE","halictus"
271,"A",1,"EPIDEN","halictus"
272,"A",1,"MADELE","halictus"
273,"A",1,"MADELE","bombus"
274,"A",1,"MADELE","xenoglossodes"
275,"A",1,"MADELE","halictus"
276,"A",1,"MADELE","mellisodes"
